Page Views,Session Duration,Time on Page,Previous Visits,Visitor Type
4,481.3313938368534,5.28436994209985,2,Human
2,37.134621723045,0.61268957467129,1,Human
6,434.25427216932,0.31403874102792,2,Human
4,27.1003346315676,10.5279338349546,2,Human
27,22.904630272955398,2.69012951951148,2,Bot
7,130.9186553573154,5.52435250500928,1,Human
24,121.6689157601466,3.05166852193945,0,Bot
4,347.49161176276436,2.14394416815448,0,Human
7,73.7264142545898,5.22840555771024,0,Human
28,186.48887957683198,3.35773369105008,0,Bot
5,13.582942372305599,0.47771696930199,0,Human
5,19.868670482256597,1.42803432755958,5,Human
26,236.0533396986108,2.43495647557001,2,Bot
4,230.5249127598234,6.79393168319068,1,Human
7,183.7056927091854,3.35420534590757,1,Human
34,98.6978271720822,2.67491316097495,1,Bot
1,101.9243273625684,1.87074949475628,1,Human
31,576.5802529063368,3.4169643568657,0,Bot
6,63.73853387203499,3.44292315063944,4,Human
27,8.112052651431,4.45398070468484,2,Bot
30,517.7701301440055,1.2190640858464,4,Bot
30,110.5206965363376,4.42858686214466,0,Bot
4,36.2655762922866,7.9689695341383,0,Human
28,91.37854049464559,2.38681886643713,1,Bot
33,114.84898045977181,2.67356271077543,2,Bot
5,116.20759611131041,4.66370260521292,1,Human
24,191.827857173733,2.72143182618935,2,Bot
6,502.2295195285734,7.47852487637762,0,Human
4,472.69406050134955,3.75300366080348,1,Human
31,373.026967562676,1.75608245251115,3,Bot
3,157.6198442509272,10.08051226192318,1,Human
25,171.3989618057256,2.44756617341897,0,Bot
3,340.4485308695706,0.7069602714848,1,Human
20,501.35119140203346,5.49909911396535,1,Bot
3,355.9228573163418,0.49639583558292,1,Human
5,564.501476165898,5.91338323033938,2,Human
4,254.6410085978286,7.27503471423937,5,Human
7,46.3902620043396,0.85005916876062,7,Human
6,17.1538148680452,6.11584267840766,1,Human
2,245.10050061994082,4.20202841706475,3,Human
5,59.6420462936964,4.60036740209885,0,Human
8,392.9302833955038,2.05623229584816,3,Human
2,282.83161467215757,3.86952594507195,4,Human
4,65.6998012076532,2.98480052411447,0,Human
4,270.7451119069026,8.2867340152638,2,Human
3,973.4729734302487,1.46478212198838,0,Human
7,156.919428816996,3.22066896074323,0,Human
10,88.3986311415672,9.00440238697814,1,Human
33,36.0186261840714,2.04821613561852,0,Bot
5,631.5249111833999,1.80038714016156,3,Human
4,186.8800666555278,4.90528805434571,4,Human
9,212.4510483257028,3.86606463627497,3,Human
6,169.8353283147048,9.50834245484943,1,Human
22,115.9800341406918,2.17682813675647,1,Bot
25,42.208557747612005,2.0026662702467,1,Bot
5,118.9852945227522,1.24153229639792,3,Human
4,159.3353099621622,5.60620716037553,2,Human
35,131.229562070601,2.6297484116045,0,Bot
5,130.8638644217718,7.31796845939064,0,Human
30,38.8907104924008,2.60172462381839,0,Bot
23,111.8455859789988,8.25166830163269,1,Bot
7,48.001067495692794,3.49491215587917,1,Human
4,25.2772024215912,9.71290478930488,2,Human
10,95.2486504519782,10.88130388608214,0,Human
4,432.1553880443904,0.81751416647742,2,Human
40,31.667599552954798,4.86132498281163,1,Bot
10,44.7056335249218,4.07335032438679,3,Human
36,14.1175437461118,3.54713878766926,0,Bot
33,140.54385101619118,2.32101712472615,0,Bot
2,204.215339685357,10.41820122790658,1,Human
25,172.4020042584612,2.78145910198178,1,Bot
5,77.2628142473376,2.28562224534965,2,Human
4,65.68862727627601,1.49735475858684,2,Human
5,135.865455789645,3.94824904466698,0,Human
31,52.1332045688364,3.87291840604196,0,Bot
3,23.2430477678748,0.42125036070094,1,Human
33,35.6110275693804,2.72290471188909,1,Bot
30,178.1870028848598,2.26489471719255,2,Bot
3,82.2166577399724,7.03949841775559,3,Human
4,48.9875682722118,2.25228826469872,0,Human
2,48.7077384843468,2.782074585778,3,Human
6,720.4216706750856,3.46122282278388,2,Human
7,66.59750904493501,0.57266285717661,3,Human
3,572.1155828077536,0.47315593834364,1,Human
27,17.4261638794278,2.62553877880356,3,Bot
32,107.8861234414338,4.54250443493353,1,Bot
0,138.9310951236138,2.70430827322601,3,Human
3,46.1757180212436,4.18947622098408,1,Human
4,74.8542199037706,1.74555172550038,4,Human
27,47.1075114016446,3.59818024435379,0,Bot
5,17.823713527818597,4.97189432427718,1,Human
7,23.3286903064374,7.37604305553594,1,Human
6,34.0597211432832,3.207502056293,1,Human
26,40.235399110999204,2.6283463075176,2,Bot
5,130.2296112643866,4.54166267702213,2,Human
6,41.084618267122195,6.24121015994709,2,Human
27,87.0009902454528,6.88501541795234,1,Bot
30,189.7004985732954,4.99003549063511,3,Bot
5,232.1360074827144,1.59903310417074,7,Human
27,150.248096744643,2.55764092722503,1,Bot
6,463.945660106829,8.33926349988357,3,Human
33,163.3191391627908,2.95000246609638,0,Bot
38,209.19020265734758,2.90814895302049,0,Bot
9,157.3202442320166,1.78760882255756,2,Human
6,33.082896650714396,10.5790705629438,2,Human
6,17.1417927624816,4.21946846400854,1,Human
6,52.8062539203126,1.12150649932399,2,Human
4,231.5902983650544,3.34596418250562,2,Human
8,57.396314005328996,8.40227218359261,2,Human
29,159.663708829164,4.23535094013544,1,Bot
5,84.1161429670608,1.75077766630823,3,Human
5,579.0744813784285,24.79618220493364,1,Human
36,338.975524339023,4.67513344772648,2,Bot
1,406.5769378160682,6.47996611116226,2,Human
40,10.458483040038601,4.69803993728029,2,Bot
2,43.5710978985546,8.371822949585,3,Human
3,162.462587640132,2.76568226145079,2,Human
26,13.948494503422799,2.7293189065212,0,Bot
9,89.98995436921679,5.93519875653638,2,Human
3,108.6938271044736,4.10396906723906,6,Human
5,254.15059674347577,1.96065382968356,5,Human
6,44.1852050217822,1.57907884987968,0,Human
3,309.5190507464448,7.88133299740641,3,Human
1,76.429054950552,3.39902517889696,0,Human
7,21.5225502887952,4.21092215590447,5,Human
4,195.1226669282334,5.24566006801082,1,Human
