Page Views,Session Duration,Time on Page,Previous Visits,Visitor Type
4.0,8.02218989728089,5.284369942099853,2,Human
2.0,0.6189103620507534,0.6126895746712862,1,Human
6.0,7.237571202821995,0.3140387410279162,2,Human
4.0,0.451672243859456,10.527933834954604,2,Human
27.14626853125262,0.3817438378825912,2.690129519511477,2,Bot
7.0,2.1819775892885893,5.5243525050092765,1,Human
24.592259981928024,2.027815262669115,3.0516685219394484,0,Bot
4.0,5.791526862712742,2.143944168154482,0,Human
7.0,1.2287735709098302,5.228405557710239,0,Human
2.0,0.1068270929303397,7.575048449123924,1,Human
28.84532734895661,3.1081479929471953,3.357733691050075,0,Bot
5.0,0.2263823728717604,0.4777169693019915,0,Human
5.0,0.3311445080376064,1.4280343275595828,5,Human
26.942410985040258,3.9342223283101747,2.4349564755700137,2,Bot
4.0,3.842081879330389,6.793931683190681,1,Human
7.0,3.061761545153093,3.354205345907566,1,Human
34.11585291980957,1.644963786201368,2.6749131609749535,1,Bot
1.0,1.6987387893761436,1.870749494756276,1,Human
31.66831052643474,9.609670881772278,3.4169643568657024,0,Bot
6.0,1.06230889786725,3.442923150639443,4,Human
27.275404565955252,0.13520087752385032,4.453980704684844,2,Bot
30.498256825438204,8.629502169066757,1.2190640858464032,4,Bot
30.23699335658207,1.84201160893896,4.428586862144657,0,Bot
4.0,0.6044262715381051,7.968969534138303,0,Human
28.454139382656802,1.5229756749107624,2.386818866437127,1,Bot
33.78494308322676,1.9141496743295314,2.6735627107754296,2,Bot
5.0,1.9367932685218416,4.663702605212915,1,Human
24.64553750969444,3.197130952895551,2.721431826189346,2,Bot
6.0,8.370491992142888,7.478524876377625,0,Human
4.0,7.878234341689158,3.753003660803476,1,Human
31.556250772717682,6.2171161260445995,1.756082452511147,3,Bot
3.0,0.0840559121617255,6.437025124606416,4,Human
3.0,2.626997404182121,10.08051226192318,1,Human
25.07136976832228,2.856649363428756,2.447566173418967,0,Bot
3.0,5.6741421811595085,0.7069602714847966,1,Human
20.646040394870724,8.35585319003389,5.499099113965346,1,Bot
3.0,5.932047621939029,0.49639583558292,1,Human
5.0,9.408357936098298,5.913383230339378,2,Human
4.0,4.244016809963814,7.275034714239368,5,Human
7.0,0.7731710334056614,0.850059168760617,7,Human
6.0,0.2858969144674226,6.1158426784076605,1,Human
2.0,4.085008343665675,4.202028417064748,3,Human
5.0,0.994034104894944,4.600367402098852,0,Human
8.0,6.548838056591727,2.056232295848163,3,Human
2.0,4.713860244535957,3.8695259450719535,4,Human
4.0,1.0949966867942185,2.984800524114473,0,Human
4.0,4.512418531781712,8.286734015263805,2,Human
3.0,16.22454955717081,1.4647821219883808,0,Human
7.0,2.6153238136166,3.2206689607432297,0,Human
10.0,1.4733105190261189,9.004402386978137,1,Human
33.60836032021618,0.6003104364011886,2.0482161356185205,0,Bot
5.0,10.52541518639,1.8003871401615588,3,Human
4.0,3.1146677775921257,4.90528805434571,4,Human
9.0,3.540850805428382,3.8660646362749658,3,Human
6.0,2.830588805245083,9.508342454849432,1,Human
22.32942914632189,1.9330005690115275,2.1768281367564746,1,Bot
25.68004615160092,0.7034759624601976,2.002666270246695,1,Bot
5.0,1.9830882420458695,1.241532296397918,3,Human
4.0,2.655588499369366,5.60620716037553,2,Human
35.84647795222836,2.1871593678433463,2.629748411604495,0,Bot
5.0,2.1810644070295298,7.317968459390644,0,Human
30.134429194972654,0.6481785082066823,2.601724623818388,0,Bot
23.398833964896788,1.8640930996499812,8.251668301632693,1,Bot
22.246682844669337,0.009904445947655232,2.023280922214126,0,Bot
7.0,0.8000177915948752,3.494912155879166,1,Human
4.0,0.4212867070265232,9.71290478930488,2,Human
5.0,0.010532457752953,1.241465082383058,3,Human
10.0,1.5874775075329697,10.881303886082142,0,Human
